mykCollegeId,UNITID
1529,190080.0
1530,190099.0
1531,190114.0
1532,190150.0
1533,190169.0
1534,190239.0
1535,190248.0
1536,190293.0
1537,190309.0
1538,190318.0
1539,190372.0
1540,190415.0
1541,
1542,190442.0
1543,190451.0
1544,190503.0
1545,190512.0
1546,190521.0
1547,190530.0
1548,190549.0
1549,190558.0
1550,190567.0
1551,190576.0
1552,190585.0
1553,190594.0
1554,190600.0
1555,190619.0
1556,190628.0
1557,190637.0
1558,190646.0
1559,190655.0
1560,190664.0
1561,190673.0
1562,190682.0
1563,190691.0
1564,190707.0
1565,190716.0
1566,190725.0
1567,
1568,190761.0
1570,190840.0
1571,190956.0
1572,190974.0
1573,190983.0
1574,191083.0
1575,191126.0
1576,191199.0
1577,191205.0
1578,191241.0
1579,191287.0
1580,191302.0
1581,191311.0
1582,191320.0
1583,191339.0
1585,191515.0
1586,191533.0
1587,191597.0
1588,191612.0
1589,191621.0
1590,191630.0
1591,191649.0
1592,191676.0
1593,191719.0
1594,191728.0
1596,191931.0
1597,191940.0
1598,191959.0
1599,191968.0
1600,191986.0
1601,192004.0
1602,192022.0
1603,192040.0
1604,192110.0
1606,192165.0
1607,192192.0
1608,192271.0
1609,192323.0
1610,192439.0
1611,192448.0
1612,192484.0
1613,192509.0
1615,192563.0
1616,192624.0
1617,192688.0
1618,192703.0
1619,192712.0
1620,192749.0
1621,192785.0
1622,192800.0
1623,192819.0
1624,192864.0
1625,192925.0
1626,192961.0
1627,192970.0
1628,193016.0
1629,193052.0
1630,193061.0
1631,193070.0
1632,193122.0
1633,193186.0
1634,193201.0
1635,193247.0
1636,193265.0
1637,193283.0
1638,193292.0
1639,193308.0
1640,193326.0
1641,193353.0
1642,193399.0
1643,193405.0
1644,193478.0
1645,193584.0
1646,193609.0
1647,193645.0
1648,193654.0
1649,193672.0
1650,193751.0
1652,193821.0
1653,193830.0
1654,193858.0
1655,193894.0
1656,193900.0
1657,193946.0
1658,193973.0
1659,193991.0
1660,194028.0
1661,194073.0
1662,194091.0
1663,194116.0
1664,194161.0
1665,194189.0
1666,194222.0
1667,194240.0
1668,194259.0
1669,194310.0
1670,194392.0
1671,194435.0
1672,194499.0
1673,194569.0
1674,194578.0
1676,194657.0
1677,194666.0
1679,194693.0
1680,194736.0
1681,194763.0
1682,194824.0
1684,194958.0
1685,195003.0
1686,
1687,195058.0
1688,195067.0
1689,195128.0
1690,195155.0
1691,195164.0
1692,195173.0
1693,195191.0
1694,195216.0
1695,195234.0
1696,195243.0
1697,195289.0
1698,195304.0
1699,195322.0
1700,195438.0
1701,195474.0
1702,195526.0
1703,195544.0
1704,195580.0
1706,195702.0
1707,195720.0
1708,195784.0
1709,195809.0
1711,195933.0
1712,195988.0
1713,196006.0
1714,196015.0
1715,196024.0
1716,196033.0
1717,196042.0
1718,196051.0
1719,196060.0
1720,196079.0
1721,196088.0
1722,196097.0
1723,196103.0
1724,196112.0
1725,196121.0
1726,196130.0
1727,196149.0
1728,196158.0
1729,196167.0
1730,196176.0
1731,196185.0
1732,196194.0
1733,196200.0
1734,196219.0
1735,196228.0
1736,196237.0
1737,196246.0
1738,196255.0
1739,196264.0
1740,196291.0
1741,
1742,196389.0
1743,196413.0
1744,196431.0
1745,196440.0
1746,196468.0
1748,196565.0
1749,196583.0
1750,196592.0
1751,196653.0
1752,196680.0
1753,196699.0
1755,196866.0
1756,196884.0
1757,197018.0
1758,197027.0
1759,
1761,
1762,
1763,197151.0
1764,
1765,
1766,
1767,197285.0
1768,197294.0
1769,
1771,
1772,
1774,
1775,
1776,
1777,
1778,
1779,
1780,197814.0
1781,197832.0
1782,197850.0
1783,197869.0
1784,197887.0
1785,197911.0
1786,197966.0
1787,197984.0
1788,197993.0
1789,198011.0
1790,198039.0
1791,198066.0
1792,198084.0
1793,198109.0
1794,198118.0
1795,198136.0
1796,198154.0
1797,198190.0
1798,198206.0
1799,198215.0
1800,198233.0
1802,198251.0
1803,198260.0
1804,198303.0
1805,198321.0
1806,198330.0
1807,198367.0
1808,198376.0
1809,198385.0
1810,198419.0
1811,198455.0
1812,198464.0
1813,198491.0
1814,198507.0
1815,198516.0
